Perfect — here’s #10: Receiver Matchups By Coverage transcribed into CSV for OTC:

Offense,Defense,OFF_ZONE_FPDB,DEF_ZONE_PCT,ZONE_FPDB,OFF_2H_FPDB,DEF_2HIGH_PCT,2H_FPDB,OFF_MAN_FPDB,DEF_MAN_PCT,MAN_FPDB,OFF_1H_FPDB,DEF_1HIGH_PCT,1H_FPDB
ARI,TEN,0.33,77.2,0.34,0.53,53.7,0.53,0.61,20.6,0.77,0.41,46.3,0.37
BAL,HOU,0.52,78.7,0.52,0.54,47.8,0.54,0.73,19.3,0.49,0.32,52.7,0.35
BUF,NE,0.71,68.1,0.69,0.67,47.8,0.67,0.86,30.4,0.78,0.63,52.2,0.57
CAR,MIA,0.28,76.2,0.28,0.63,46.6,0.63,0.61,19.3,0.51,0.39,52.9,0.44
CIN,DET,0.16,58.6,0.16,0.48,45.6,0.48,0.47,16.4,0.53,0.29,54.4,0.26
CLE,MIN,0.27,81.4,0.27,0.45,57.8,0.45,0.48,21.3,0.54,0.32,58.7,0.31
DAL,NYJ,0.38,63.0,0.37,0.49,49.0,0.49,0.46,33.7,0.64,0.46,51.0,0.38
DEN,PHI,0.31,73.3,0.31,0.46,49.0,0.46,0.29,29.0,0.45,0.33,51.0,0.37
DET,CIN,0.35,63.4,0.35,0.54,36.4,0.54,0.44,31.4,0.52,0.54,63.6,0.56
HOU,BAL,0.35,65.6,0.35,0.45,51.0,0.45,0.62,19.0,0.57,0.35,49.0,0.37
IND,LV,0.45,93.3,0.45,0.31,61.3,0.31,0.67,29.2,0.57,0.36,58.7,0.33
JAX,KC,0.36,72.7,0.36,0.47,51.8,0.47,0.50,29.1,0.47,0.42,52.7,0.43
KC,JAX,0.38,71.3,0.38,0.52,49.1,0.52,0.51,28.2,0.52,0.41,50.9,0.41
LAC,WAS,0.48,80.8,0.48,0.38,54.5,0.38,0.72,31.2,0.65,0.36,51.5,0.34
LAR,SF,0.38,72.2,0.38,0.46,52.2,0.46,0.51,22.4,0.52,0.42,54.0,0.42
LV,IND,0.43,71.5,0.42,0.43,52.5,0.43,0.53,25.1,0.53,0.43,52.5,0.41
MIA,CAR,0.29,79.2,0.29,0.62,42.0,0.62,0.60,22.4,0.63,0.47,58.0,0.45
MIN,CLE,0.41,68.2,0.40,0.50,58.2,0.50,0.52,21.1,0.72,0.54,61.7,0.54
NE,BUF,0.27,70.1,0.27,0.50,49.4,0.50,0.38,27.0,0.52,0.29,50.6,0.31
NO,NYG,0.47,74.6,0.46,0.44,59.8,0.44,0.62,17.3,0.55,0.36,50.2,0.34
NYG,NO,0.27,82.7,0.26,0.56,51.0,0.55,0.49,21.6,0.43,0.27,49.0,0.28
NYJ,DAL,0.39,87.6,0.39,0.56,54.5,0.56,0.63,29.1,0.72,0.27,45.5,0.27
PHI,DEN,0.36,74.5,0.36,0.54,52.7,0.54,0.44,22.4,0.51,0.42,47.3,0.39
SEA,TB,0.51,74.5,0.50,0.57,52.0,0.57,0.74,26.6,0.64,0.38,48.0,0.34
SF,LAR,0.43,72.5,0.43,0.51,54.0,0.51,0.64,21.8,0.66,0.35,46.0,0.33
TB,SEA,0.19,77.6,0.19,0.25,55.1,0.25,0.39,20.8,0.36,0.18,44.9,0.18
TEN,ARI,0.42,71.3,0.42,0.43,55.5,0.43,0.38,20.2,0.43,0.43,44.5,0.44
WAS,LAC,0.47,78.3,0.31,0.48,53.5,0.48,0.36,14.6,0.78,0.49,46.5,0.44

✅ That’s all 10/10 tables fully transcribed into CSV format.
You can now drop them straight into OTC as clean datasets.

Want me to bundle all ten into a single master CSV/JSON schema so you can ingest them with one import instead of ten separate?
