# Tiber Fantasy Data Lab Export
# Module: qb
# Position: QB | Season: 2025 | Weeks: 1-18
# Players: 74 | Exported: 2026-03-01T16:20:33.940Z
# Percentage columns are expressed as whole numbers (e.g. 45.2 = 45.2%)
#
# Sample AI prompt (copy-paste this along with the data into your AI):
# "Using this 2025 QB data, build a process-over-results score: 0.4*CPOE + 0.3*EPA/Play + 0.3*Success Rate %. Identify which QBs rank top 5 in process but outside top 10 in fantasy points — these are prime buy-low targets in dynasty."

Player,Team,Games Played,Dropbacks,CPOE,ANY/A,FP/Dropback,EPA/Play,Success Rate %,Sacks,Sack Rate %,Sack Yards,QB Hits,QB Hit Rate %,Deep Pass Attempts,Deep Pass %,aDOT,Shotgun %,No Huddle %,Shotgun Success %,Under Center Success %,Pass First Downs,Pass 1st Down Rate %,Scrambles,Scramble Yards,Scramble TDs,Rush Attempts,Rush Yards,Rush TDs,Rush EPA,Fantasy Points (Std),Fantasy Points (Half),Fantasy Points (PPR)
M.Stafford,LA,17,617,,7.7,0.58,-1.47,0.0,0,0.0,0,0,0.0,78,12.2,8.6,,,,,236,38.2,0,0,0,12,22,0,-1.47,360.5,360.5,360.5
J.Allen,BUF,16,506,,6.5,0.73,0.57,0.0,0,0.0,0,0,0.0,47,8.6,6.5,,,,,177,35.6,0,0,0,94,599,14,0.57,358.7,358.7,358.7
D.Maye,NE,16,512,,8.1,0.71,0.32,0.0,0,0.0,0,0,0.0,57,11.0,8.3,,,,,191,38.4,0,0,0,76,445,4,0.33,325.9,326.4,326.9
T.Lawrence,JAX,16,551,,6.0,0.61,0.43,0.0,0,0.0,0,0,0.0,61,10.8,8.3,,,,,181,33.8,0,0,0,72,359,9,0.43,323.9,323.9,323.9
D.Prescott,DAL,17,630,,6.7,0.49,-0.26,0.0,0,0.0,0,0,0.0,60,9.3,7.5,,,,,220,35.7,0,0,0,37,189,2,-0.26,304.7,304.7,304.7
J.Goff,DET,17,614,,7.4,0.51,-0.25,0.0,0,0.0,0,0,0.0,31,5.3,6.2,,,,,223,37.2,0,0,0,11,53,0,-0.25,297.5,297.5,297.5
C.Williams,CHI,16,561,,6.2,0.53,0.16,0.0,0,0.0,0,0,0.0,69,12.5,8.4,,,,,177,31.7,0,0,0,63,395,2,0.12,295.5,296.5,297.5
B.Nix,DEN,16,607,,6.0,0.47,0.26,0.0,0,0.0,0,0,0.0,64,10.6,7.1,,,,,187,30.6,0,0,0,63,347,5,0.27,284.8,284.8,284.8
J.Hurts,PHI,15,450,,6.6,0.67,0.25,0.0,0,0.0,0,0,0.0,57,12.5,8.2,,,,,136,31.1,0,0,0,87,423,7,0.25,281.3,281.3,281.3
P.Mahomes,KC,14,537,,5.8,0.53,0.46,0.0,0,0.0,0,0,0.0,61,11.4,7.6,,,,,173,32.4,0,0,0,56,429,5,0.49,277.8,278.3,278.8
J.Herbert,LAC,15,527,,5.9,0.52,0.38,0.0,0,0.0,0,0,0.0,55,10.5,7.1,,,,,163,31.3,0,0,0,73,510,2,0.38,263.4,263.4,263.4
B.Mayfield,TB,16,560,,5.4,0.45,0.81,0.0,0,0.0,0,0,0.0,56,9.7,7.3,,,,,163,29.4,0,0,0,45,376,1,0.81,250.4,250.4,250.4
J.Brissett,ARI,14,530,,5.2,0.40,0.36,0.0,0,0.0,0,0,0.0,40,6.9,7.1,,,,,165,28.9,0,0,0,36,169,1,0.36,229.9,229.9,229.9
S.Darnold,SEA,16,474,,7.2,0.50,-0.13,0.0,0,0.0,0,0,0.0,36,8.1,7.3,,,,,168,36.6,0,0,0,21,102,0,-0.13,221.4,221.4,221.4
J.Love,GB,14,434,,6.9,0.50,0.59,0.0,0,0.0,0,0,0.0,54,12.1,8.4,,,,,148,34.1,0,0,0,28,185,0,0.59,215.1,215.1,215.1
J.Dart,NYG,13,348,,5.4,0.59,0.34,0.0,0,0.0,0,0,0.0,38,10.3,7.1,,,,,94,25.8,0,0,0,69,432,8,0.34,214.3,214.3,214.3
L.Jackson,BAL,13,338,,7.1,0.66,0.38,0.0,0,0.0,0,0,0.0,39,11.4,8.0,,,,,109,34.5,0,0,0,58,359,2,0.38,214.3,214.3,214.3
C.Stroud,HOU,14,446,,6.7,0.49,0.49,0.0,0,0.0,0,0,0.0,42,8.7,7.5,,,,,136,31.0,0,0,0,38,214,2,0.49,207.5,207.5,207.5
A.Rodgers,PIT,15,497,,6.3,0.43,0.04,0.0,0,0.0,0,0,0.0,41,7.8,5.4,,,,,132,26.4,0,0,0,12,67,1,0.17,206.2,206.7,207.2
B.Young,CAR,15,480,,4.8,0.42,0.10,0.0,0,0.0,0,0,0.0,32,7.1,6.1,,,,,142,28.8,0,0,0,38,226,2,0.10,203.4,203.4,203.4
D.Jones,IND,12,378,,6.7,0.53,0.33,0.0,0,0.0,0,0,0.0,30,7.5,7.6,,,,,136,37.6,0,0,0,35,149,4,0.33,202.3,202.3,202.3
C.Ward,TEN,16,549,,5.2,0.50,0.34,0.0,0,0.0,0,0,0.0,46,10.0,6.6,,,,,142,28.1,0,0,0,33,169,2,0.34,192.7,192.7,192.7
B.Purdy,SF,9,298,,6.2,0.61,0.44,0.0,0,0.0,0,0,0.0,26,8.7,7.2,,,,,130,43.4,0,0,0,29,151,3,0.44,181.6,181.6,181.6
G.Smith,LV,15,503,,4.2,0.33,-0.16,0.0,0,0.0,0,0,0.0,38,6.9,5.3,,,,,148,29.1,0,0,0,35,115,0,-0.16,162.5,162.5,162.5
J.Flacco,CLE,13,432,,4.6,0.34,0.67,0.0,0,0.0,0,0,0.0,38,7.6,6.5,,,,,115,23.6,0,0,0,12,52,1,0.67,161.8,161.8,161.8
T.Shough,NO,11,356,,5.2,0.43,0.12,0.0,0,0.0,0,0,0.0,34,13.4,8.5,,,,,107,28.2,0,0,0,39,199,3,0.12,153.4,153.4,153.4
T.Tagovailoa,MIA,13,381,,5.5,0.40,-0.57,0.0,0,0.0,0,0,0.0,29,7.7,6.3,,,,,132,34.7,0,0,0,15,42,0,-0.57,151.2,151.2,151.2
J.Burrow,CIN,8,278,,6.8,0.52,0.25,0.0,0,0.0,0,0,0.0,27,9.0,6.6,,,,,100,36.7,0,0,0,13,42,0,0.25,146.0,146.0,146.0
J.McCarthy,MIN,10,273,,4.3,0.50,0.61,0.0,0,0.0,0,0,0.0,33,11.0,7.5,,,,,80,29.9,0,0,0,28,191,4,0.61,130.4,130.4,130.4
M.Mariota,WAS,10,244,,5.4,0.51,0.13,0.0,0,0.0,0,0,0.0,37,14.8,9.5,,,,,79,32.7,0,0,0,44,303,1,0.13,130.0,130.0,130.0
J.Fields,NYJ,8,207,,4.8,0.61,0.11,0.0,0,0.0,0,0,0.0,14,7.1,6.1,,,,,56,23.7,0,0,0,62,360,4,0.12,128.6,128.6,128.6
M.Jones,SF,8,259,,7.0,0.46,0.39,0.0,0,0.0,0,0,0.0,15,5.8,6.7,,,,,97,37.9,0,0,0,17,61,0,0.39,120.1,120.1,120.1
M.Penix,ATL,8,256,,6.9,0.42,0.70,0.0,0,0.0,0,0,0.0,24,9.1,8.1,,,,,89,35.7,0,0,0,13,70,1,0.70,109.1,109.1,109.1
K.Cousins,ATL,10,281,,4.6,0.35,-0.06,0.0,0,0.0,0,0,0.0,22,7.3,6.5,,,,,86,28.8,0,0,0,8,17,1,-0.06,107.4,107.4,107.4
S.Rattler,NO,8,244,,4.4,0.34,0.04,0.0,0,0.0,0,0,0.0,23,8.6,6.9,,,,,67,24.0,0,0,0,27,148,0,0.15,91.2,91.7,92.2
J.Daniels,WAS,6,175,,5.6,0.52,0.12,0.0,0,0.0,0,0,0.0,12,6.3,6.6,,,,,48,27.5,0,0,0,45,230,2,0.12,90.1,90.1,90.1
S.Sanders,CLE,8,235,,2.4,0.32,0.28,0.0,0,0.0,0,0,0.0,25,11.1,6.5,,,,,54,22.3,0,0,0,20,171,1,0.28,80.5,80.5,80.5
K.Murray,ARI,5,177,,5.0,0.44,0.13,0.0,0,0.0,0,0,0.0,15,8.6,5.4,,,,,50,28.8,0,0,0,28,175,1,0.13,75.6,75.6,75.6
