# Tiber Fantasy Data Lab Export
# Module: red-zone
# Position: RB | Season: 2025 | Weeks: 1-18
# Players: 136 | Exported: 2026-03-01T22:38:12.766Z
# Percentage columns are expressed as whole numbers (e.g. 45.2 = 45.2%)
#
# Sample AI prompt (copy-paste this along with the data into your AI):
# "Using this 2025 red zone data, calculate a TD Equity score: 0.5*RZ Snap Rate % + 0.3*RZ Target Share % + 0.2*RZ Success Rate %. Flag players in the top 10 by TD Equity but bottom half in actual TDs — these are your positive TD regression candidates."

Player,Team,Position,Games Played,Total Snaps,RZ Snaps,RZ Snap Rate %,RZ Success Rate %,RZ Targets,RZ Receptions,RZ Receiving TDs,RZ Target Share %,RZ Catch Rate %,RZ Rush Attempts,RZ Rush TDs,RZ Rush TD Rate %,RZ Pass Attempts,RZ Pass TDs,RZ TD Rate %,RZ Interceptions,Total Rec TDs,Total Rush TDs,Fantasy Points (Std),Fantasy Points (Half),Fantasy Points (PPR)
C.McCaffrey,SF,RB,17,932,101,0.8,0.0,25,20,7,33.7,72.6,75,10,12.6,1,0,0.0,0,7,10,312.6,363.6,414.6
J.Taylor,IND,RB,17,883,76,0.7,0.0,5,4,2,7.3,75.0,71,14,19.3,0,0,,0,2,18,316.5,339.5,362.5
J.Gibbs,DET,RB,17,737,67,0.6,0.0,15,12,5,12.8,86.5,52,9,15.9,0,0,,0,5,13,291.6,330.1,368.6
D.Henry,BAL,RB,17,555,66,0.6,0.0,2,2,0,2.4,100.0,63,10,12.7,1,0,0.0,0,0,16,270.5,278.0,285.5
J.Williams,DAL,RB,16,769,66,0.5,0.0,12,8,2,10.5,79.2,54,10,18.4,0,0,,0,2,11,211.8,229.3,246.8
T.Etienne,JAX,RB,17,691,64,0.5,0.0,10,8,5,8.3,81.0,54,5,9.4,0,0,,0,6,7,217.9,235.9,253.9
K.Williams,LA,RB,17,772,63,0.5,0.0,10,8,3,7.8,75.0,53,10,21.3,0,0,,0,3,10,231.3,249.3,267.3
J.Cook,BUF,RB,17,639,59,0.5,0.0,3,3,1,3.3,100.0,56,7,11.3,0,0,,0,2,12,275.2,291.7,308.2
J.Jacobs,GB,RB,15,554,58,0.6,0.0,6,5,1,14.8,90.0,52,12,24.2,0,0,,0,1,13,205.1,223.1,241.1
Z.Charbonnet,SEA,RB,16,489,55,0.5,0.0,3,3,0,4.4,100.0,52,11,23.3,0,0,,0,0,12,159.6,169.6,179.6
S.Barkley,PHI,RB,16,773,52,0.5,0.0,8,5,1,20.0,57.1,44,5,8.7,0,0,,0,2,7,195.5,214.0,232.5
B.Robinson,ATL,RB,17,860,49,0.4,0.0,13,9,3,29.3,68.5,36,5,14.1,0,0,,0,4,7,296.0,335.5,375.0
C.Brown,CIN,RB,17,738,49,0.4,0.0,12,8,5,13.3,60.0,37,6,11.3,0,0,,0,5,6,209.3,243.8,278.3
A.Jeanty,LV,RB,17,771,45,0.4,0.0,10,9,4,13.7,92.9,35,3,8.3,0,0,,0,5,5,192.1,219.6,247.1
J.Warren,PIT,RB,16,489,45,0.4,0.0,5,4,1,8.0,87.5,40,4,12.4,0,0,,0,2,6,177.1,197.1,217.1
D.Achane,MIA,RB,16,694,43,0.4,0.0,11,7,3,15.7,61.1,32,3,18.8,0,0,,0,4,8,255.1,288.6,322.1
K.Hunt,KC,RB,17,529,43,0.4,0.0,5,2,1,11.3,40.0,38,8,21.9,0,0,,0,1,8,129.4,138.4,147.4
D.Swift,CHI,RB,16,621,41,0.4,0.0,1,1,0,1.0,100.0,40,8,28.7,0,0,,0,1,9,197.7,214.7,231.7
R.Harvey,DEN,RB,17,481,41,0.3,0.0,11,9,4,9.3,87.5,29,5,15.0,1,0,0.0,0,5,7,161.6,185.1,208.6
W.Marks,HOU,RB,16,571,41,0.3,0.0,8,5,3,13.5,58.3,33,2,9.6,0,0,,0,3,2,121.1,133.1,145.1
K.Monangai,CHI,RB,17,478,41,0.3,0.0,3,2,0,2.9,75.0,38,5,14.3,0,0,,0,0,5,125.1,134.1,143.1
K.Gainwell,PIT,RB,17,517,40,0.4,0.0,17,14,2,22.0,82.4,23,5,20.8,0,0,,0,3,5,150.3,186.8,223.3
R.Dowdle,CAR,RB,17,591,40,0.3,0.0,5,3,0,12.3,62.5,35,6,15.4,0,0,,0,1,6,179.3,198.8,218.3
T.Henderson,NE,RB,17,501,40,0.3,0.0,4,4,1,6.2,100.0,36,5,9.2,0,0,,0,1,9,173.2,190.7,208.2
D.Montgomery,DET,RB,17,408,39,0.3,0.0,2,1,0,2.1,50.0,34,6,15.5,2,1,50.0,0,0,8,142.7,154.7,166.7
K.Walker,SEA,RB,17,498,37,0.3,0.0,3,2,0,3.3,66.7,34,4,12.2,0,0,,0,0,5,160.9,176.4,191.9
Q.Judkins,CLE,RB,14,452,35,0.4,0.0,1,1,0,2.1,100.0,33,6,15.0,1,0,0.0,0,0,7,142.0,155.0,168.0
B.Hall,NYJ,RB,16,640,34,0.3,0.0,9,2,0,10.4,16.7,24,2,3.8,1,1,100.0,0,1,4,175.7,193.7,211.7
C.Rodriguez,WAS,RB,11,225,34,0.4,0.0,1,0,0,0.8,0.0,33,6,27.6,0,0,,0,0,6,89.0,90.5,92.0
R.Stevenson,NE,RB,14,533,33,0.3,0.0,5,5,1,13.3,100.0,27,5,18.6,0,0,,0,2,7,149.0,165.0,181.0
J.Croskey-Merritt,WAS,RB,17,406,33,0.3,0.0,1,1,0,1.3,100.0,32,7,26.2,0,0,,0,0,8,135.3,139.8,144.3
T.Allgeier,ATL,RB,17,328,33,0.3,0.0,1,1,0,0.9,100.0,32,7,22.8,0,0,,0,0,8,109.0,116.0,123.0
K.Vidal,LAC,RB,12,479,32,0.4,0.0,6,3,1,8.7,37.5,26,2,6.7,0,0,,0,1,3,101.9,109.9,117.9
J.Mason,MIN,RB,16,413,30,0.3,0.0,1,1,0,1.7,100.0,29,6,21.1,0,0,,0,0,6,116.9,123.9,130.9
R.White,TB,RB,17,574,29,0.3,0.0,10,9,0,15.5,90.0,19,4,15.6,0,0,,0,0,4,103.0,123.0,143.0
O.Hampton,LAC,RB,9,384,28,0.4,0.0,2,2,1,7.6,100.0,26,3,12.9,0,0,,0,1,4,103.7,119.7,135.7
C.Skattebo,NYG,RB,8,295,28,0.5,0.0,4,3,2,14.3,75.0,24,6,24.3,0,0,,0,2,6,109.9,121.9,133.9
B.Corum,LA,RB,17,332,28,0.2,0.0,1,0,0,0.7,0.0,27,5,15.4,0,0,,0,0,6,114.2,118.2,122.2
B.Tuten,JAX,RB,15,215,28,0.2,0.0,2,2,2,1.3,100.0,26,5,20.5,0,0,,0,2,5,80.6,85.6,90.6
E.Wilson,GB,RB,16,321,27,0.2,0.0,3,1,0,3.2,33.3,24,3,9.0,0,0,,0,0,3,77.5,85.0,92.5
T.Tracy,NYG,RB,15,548,26,0.2,0.0,5,4,2,5.2,83.3,21,1,5.6,0,0,,0,2,2,126.8,144.8,162.8
C.Hubbard,CAR,RB,15,432,25,0.3,0.0,6,4,1,7.0,60.0,19,1,4.5,0,0,,0,3,1,97.4,112.4,127.4
D.Singletary,NYG,RB,17,311,25,0.2,0.0,2,2,0,3.9,100.0,22,4,11.7,1,0,0.0,0,0,5,88.9,97.9,106.9
S.Tucker,TB,RB,14,176,24,0.3,0.0,3,1,0,4.0,33.3,21,6,28.7,0,0,,0,1,7,83.4,87.4,91.4
