season,week,def_team,epa_per_play_allowed,plays_allowed_per_game,rz_td_rate_allowed,home_def_adj,away_def_adj
2024,1,ARI,0.19135743,80.0,0.5714285969734192,-0.007211538461538462,0.007211538461538462
2024,2,ARI,-0.14423652,66.0,0.3333333432674408,-0.007211538461538462,0.007211538461538462
2024,3,ARI,-0.00733519,85.0,1.0,-0.007211538461538462,0.007211538461538462
2024,4,ARI,0.37383902,84.0,0.8333333134651184,-0.007211538461538462,0.007211538461538462
2024,5,ARI,-0.04566399,77.0,0.1666666716337204,-0.007211538461538462,0.007211538461538462
2024,6,ARI,0.15743706,91.0,0.6666666865348816,-0.007211538461538462,0.007211538461538462
2024,7,ARI,0.10609165,78.0,0.0,-0.007211538461538462,0.007211538461538462
2024,8,ARI,0.19907688,78.0,0.75,-0.007211538461538462,0.007211538461538462
2024,9,ARI,-0.1788727,91.0,0.0,-0.007211538461538462,0.007211538461538462
2024,10,ARI,-0.049032316,68.0,0.0,-0.007211538461538462,0.007211538461538462
2024,11,ARI,0.0,60.0,0.55,-0.007211538461538462,0.007211538461538462
2024,12,ARI,-0.03386247,77.0,0.5,-0.007211538461538462,0.007211538461538462
2024,13,ARI,0.015297411,67.0,0.5,-0.007211538461538462,0.007211538461538462
2024,14,ARI,0.09318636,83.0,0.5,-0.007211538461538462,0.007211538461538462
2024,15,ARI,0.0067317653,65.0,0.6666666865348816,-0.007211538461538462,0.007211538461538462
2024,16,ARI,0.17771427,89.0,0.800000011920929,-0.007211538461538462,0.007211538461538462
2024,17,ARI,-0.043781012,71.0,0.5,-0.007211538461538462,0.007211538461538462
2024,1,ATL,-0.040555723,84.0,0.0,-0.012692307692307694,0.012692307692307694
2024,2,ATL,0.08863136,86.0,0.4000000059604645,-0.012692307692307694,0.012692307692307694
2024,3,ATL,0.0857424,87.0,0.5,-0.012692307692307694,0.012692307692307694
2024,4,ATL,0.0476792,91.0,0.75,-0.012692307692307694,0.012692307692307694
2024,5,ATL,0.20195648,67.0,0.75,-0.012692307692307694,0.012692307692307694
2024,6,ATL,-0.08798074,86.0,0.5,-0.012692307692307694,0.012692307692307694
2024,7,ATL,0.17064399,77.0,0.75,-0.012692307692307694,0.012692307692307694
2024,8,ATL,0.040661912,91.0,1.0,-0.012692307692307694,0.012692307692307694
2024,9,ATL,-0.038828082,94.0,0.6666666865348816,-0.012692307692307694,0.012692307692307694
2024,10,ATL,-0.016704641,70.0,0.4000000059604645,-0.012692307692307694,0.012692307692307694
2024,11,ATL,0.28998482,76.0,1.0,-0.012692307692307694,0.012692307692307694
2024,12,ATL,0.0,60.0,0.55,-0.012692307692307694,0.012692307692307694
2024,13,ATL,-0.14364836,61.0,0.0,-0.012692307692307694,0.012692307692307694
2024,14,ATL,0.2939897,80.0,1.0,-0.012692307692307694,0.012692307692307694
2024,15,ATL,-0.28756455,83.0,1.0,-0.012692307692307694,0.012692307692307694
2024,16,ATL,-0.34394023,78.0,0.5,-0.012692307692307694,0.012692307692307694
2024,17,ATL,0.13120788,100.0,0.6666666865348816,-0.012692307692307694,0.012692307692307694
2024,1,BAL,0.12418382,70.0,0.6000000238418579,-0.014711538461538462,0.014711538461538462
2024,2,BAL,0.030142026,79.0,0.5,-0.014711538461538462,0.014711538461538462
2024,3,BAL,0.062890776,97.0,0.75,-0.014711538461538462,0.014711538461538462
2024,4,BAL,-0.14821868,76.0,0.5,-0.014711538461538462,0.014711538461538462
2024,5,BAL,0.19131887,91.0,0.8333333134651184,-0.014711538461538462,0.014711538461538462
2024,6,BAL,0.14368942,78.0,0.6666666865348816,-0.014711538461538462,0.014711538461538462
2024,7,BAL,0.08850749,99.0,0.6666666865348816,-0.014711538461538462,0.014711538461538462
2024,8,BAL,0.11854454,85.0,0.6000000238418579,-0.014711538461538462,0.014711538461538462
2024,9,BAL,-0.11849596,86.0,0.25,-0.014711538461538462,0.014711538461538462
2024,10,BAL,0.16761504,96.0,1.0,-0.014711538461538462,0.014711538461538462
2024,11,BAL,-0.10292952,97.0,0.0,-0.014711538461538462,0.014711538461538462
2024,12,BAL,0.08643786,87.0,1.0,-0.014711538461538462,0.014711538461538462
2024,13,BAL,0.04594968,75.0,0.75,-0.014711538461538462,0.014711538461538462
2024,14,BAL,0.0,60.0,0.55,-0.014711538461538462,0.014711538461538462
2024,15,BAL,-0.03810355,84.0,0.6666666865348816,-0.014711538461538462,0.014711538461538462
2024,16,BAL,-0.08251941,78.0,1.0,-0.014711538461538462,0.014711538461538462
2024,17,BAL,-0.2729719,70.0,0.0,-0.014711538461538462,0.014711538461538462
2024,1,BUF,0.14116283,76.0,0.6000000238418579,-0.025576923076923077,0.025576923076923077
2024,2,BUF,-0.23552503,89.0,0.25,-0.025576923076923077,0.025576923076923077
2024,3,BUF,-0.16261637,89.0,0.25,-0.025576923076923077,0.025576923076923077
2024,4,BUF,0.20833407,72.0,1.0,-0.025576923076923077,0.025576923076923077
2024,5,BUF,-0.02700481,84.0,0.6666666865348816,-0.025576923076923077,0.025576923076923077
2024,6,BUF,0.07415041,79.0,0.4000000059604645,-0.025576923076923077,0.025576923076923077
2024,7,BUF,-0.14936897,91.0,0.3333333432674408,-0.025576923076923077,0.025576923076923077
2024,8,BUF,-0.09908512,68.0,0.3333333432674408,-0.025576923076923077,0.025576923076923077
2024,9,BUF,0.21239518,78.0,0.6000000238418579,-0.025576923076923077,0.025576923076923077
2024,10,BUF,-0.1648366,80.0,0.4000000059604645,-0.025576923076923077,0.025576923076923077
2024,11,BUF,0.042137302,69.0,1.0,-0.025576923076923077,0.025576923076923077
2024,12,BUF,0.0,60.0,0.55,-0.025576923076923077,0.025576923076923077
2024,13,BUF,-0.25545415,65.0,0.3333333432674408,-0.025576923076923077,0.025576923076923077
2024,14,BUF,0.2614811,95.0,0.8333333134651184,-0.025576923076923077,0.025576923076923077
2024,15,BUF,0.1829292,99.0,1.0,-0.025576923076923077,0.025576923076923077
2024,16,BUF,0.0345358,91.0,0.75,-0.025576923076923077,0.025576923076923077
2024,17,BUF,-0.19190447,76.0,0.6666666865348816,-0.025576923076923077,0.025576923076923077
2024,1,CAR,0.19670652,81.0,0.8333333134651184,-0.005817307692307692,0.005817307692307692
2024,2,CAR,0.05492127,80.0,0.75,-0.005817307692307692,0.005817307692307692
2024,3,CAR,-0.075496584,80.0,1.0,-0.005817307692307692,0.005817307692307692
