player_id,season,week,position,team,snap_pct,routes,tprr,rush_share,target_share,goalline_share,two_min_share,yprr,yac_per_rec,mtf,succ_rate,epa_per_play_qb,team_epa_play,team_pace,team_rz_plays,injury_status,dnp_weeks_rolling,sos_ctx
00-0023459,2024,6,QB,NYJ,73.7,0.0,0.0,5.3,0.0,6.1,4.9,2.01,7.6,4.0,0.487,-0.096,0.07,66.1,8.0,healthy,0,49.6
00-0024243,2024,6,TE,CHI,35.2,39.9,0.488,0.7,19.5,13.2,10.5,3.23,4.3,0.5,0.609,0.0,0.027,62.5,14.0,healthy,0,37.9
00-0026143,2024,6,QB,ATL,60.5,0.0,0.0,5.3,0.0,9.0,7.2,2.14,4.9,1.7,0.609,0.236,0.046,60.7,15.0,healthy,0,48.2
00-0026158,2024,6,QB,IND,60.3,0.0,0.0,6.9,0.0,7.0,5.6,2.19,5.1,1.5,0.586,0.042,0.142,68.3,13.0,healthy,0,39.3
00-0026300,2024,6,QB,BAL,86.3,0.0,0.0,5.9,0.0,9.9,7.9,3.1,4.1,3.0,0.629,-0.084,0.129,70.2,16.0,healthy,0,44.3
00-0026498,2024,6,QB,LA,93.0,0.0,0.0,8.7,0.0,7.0,5.6,2.68,9.8,1.4,0.363,0.063,0.026,67.0,10.0,healthy,0,52.4
00-0027973,2024,6,QB,CAR,48.4,0.0,0.0,5.0,0.0,2.7,2.2,1.31,11.8,3.1,0.373,0.007,-0.007,67.7,12.0,healthy,0,59.2
00-0028118,2024,6,QB,NYJ,57.6,0.0,0.0,10.0,0.0,3.8,3.1,1.6,9.5,1.0,0.596,0.105,0.017,69.4,15.0,healthy,0,50.5
00-0028986,2024,6,QB,HOU,42.9,0.0,0.0,5.8,0.0,7.4,5.9,3.26,5.2,1.8,0.368,0.187,-0.035,71.4,14.0,healthy,0,49.2
00-0029263,2024,6,QB,PIT,93.7,0.0,0.0,14.4,0.0,1.8,1.5,3.13,11.3,3.0,0.543,0.23,0.084,65.9,14.0,healthy,0,46.6
00-0029604,2024,6,QB,ATL,99.8,0.0,0.0,8.9,0.0,9.2,7.3,3.26,9.6,3.5,0.421,-0.074,0.04,71.3,15.0,healthy,0,64.9
00-0029892,2024,6,RB,SF,46.7,41.9,0.5,33.7,20.9,14.7,11.8,1.92,3.2,1.6,0.597,0.0,0.033,68.4,9.0,healthy,0,40.4
00-0030035,2024,6,WR,CAR,64.5,37.2,0.808,2.8,30.1,19.0,15.2,3.05,5.5,1.8,0.496,0.0,0.031,66.8,13.0,healthy,0,61.4
00-0030061,2024,6,TE,WAS,90.7,22.9,1.026,1.8,23.5,24.6,19.7,1.57,12.0,3.6,0.619,0.0,-0.031,66.4,9.0,healthy,0,52.0
00-0030279,2024,6,WR,CHI,85.5,29.9,0.728,2.2,21.8,10.4,8.3,3.07,11.0,2.1,0.476,0.0,0.076,68.5,11.0,healthy,0,55.9
00-0030431,2024,6,WR,HOU,29.2,39.8,0.776,3.0,30.9,16.8,13.4,1.74,10.5,2.7,0.619,0.0,0.072,66.7,14.0,healthy,0,37.8
00-0030506,2024,6,TE,KC,88.4,37.1,0.532,0.1,19.7,27.0,21.6,2.35,9.4,0.3,0.397,0.0,0.076,59.8,12.0,healthy,0,51.1
00-0030564,2024,6,WR,KC,92.1,38.5,0.401,1.9,15.4,7.1,5.7,3.18,5.3,4.0,0.562,0.0,0.012,60.5,13.0,healthy,0,61.9
00-0030565,2024,6,QB,SEA,96.9,0.0,0.0,8.7,0.0,2.8,2.3,2.27,10.9,2.6,0.645,0.003,0.017,68.9,11.0,healthy,0,47.7
00-0030578,2024,6,RB,PIT,60.3,18.7,0.5,35.0,9.4,29.7,23.8,1.79,6.1,1.3,0.619,0.0,0.141,60.3,9.0,healthy,0,46.6
00-0031235,2024,6,WR,MIA,27.2,30.8,1.017,4.6,31.3,16.8,13.5,3.23,11.2,3.2,0.607,0.0,-0.041,63.8,14.0,healthy,0,63.9
00-0031236,2024,6,WR,DAL,85.3,33.3,0.587,4.5,19.6,8.5,6.8,2.05,4.0,1.1,0.498,0.0,0.146,61.6,13.0,healthy,0,46.1
00-0031237,2024,6,QB,DET,98.9,0.0,0.0,12.8,0.0,6.2,4.9,1.81,3.1,0.5,0.493,-0.043,0.071,65.0,14.0,healthy,0,48.7
00-0031260,2024,6,TE,SF,49.0,29.3,0.499,0.6,14.6,22.3,17.9,2.68,7.6,0.2,0.601,0.0,0.003,61.6,15.0,healthy,0,53.5
00-0031280,2024,6,QB,NO,89.2,0.0,0.0,10.8,0.0,3.2,2.6,2.78,9.1,0.5,0.392,0.213,0.041,65.0,12.0,healthy,0,44.3
00-0031299,2024,6,TE,CAR,87.5,36.6,0.507,1.5,18.5,26.4,21.1,1.2,11.2,0.3,0.431,0.0,0.042,63.4,12.0,healthy,0,49.0
00-0031345,2024,6,QB,LA,66.6,0.0,0.0,11.3,0.0,5.6,4.5,1.23,4.3,3.9,0.622,-0.096,0.057,68.7,12.0,healthy,0,52.0
00-0031373,2024,6,WR,WAS,32.3,27.8,1.067,4.7,29.7,19.7,15.7,2.24,5.1,1.0,0.429,0.0,0.114,58.4,15.0,healthy,0,59.4
00-0031381,2024,6,WR,NYJ,79.4,30.5,0.827,1.0,25.2,14.8,11.8,3.11,8.6,2.1,0.449,0.0,0.017,63.4,15.0,healthy,0,60.0
00-0031408,2024,6,WR,TB,78.3,40.3,0.796,1.7,32.1,5.5,4.4,1.15,9.7,2.1,0.423,0.0,0.133,70.0,12.0,healthy,0,59.4
00-0031428,2024,6,WR,DET,65.9,25.5,0.679,4.5,17.3,7.4,5.9,2.22,9.6,3.4,0.565,0.0,0.002,65.3,11.0,healthy,0,54.7
00-0031484,2024,6,TE,NYG,67.2,30.8,0.808,1.7,24.9,26.5,21.2,2.86,8.2,3.7,0.502,0.0,0.127,61.3,16.0,healthy,0,39.9
00-0031503,2024,6,QB,CLE,51.7,0.0,0.0,12.7,0.0,4.6,3.7,2.92,5.2,2.4,0.4,-0.073,0.066,59.1,10.0,healthy,0,49.1
00-0031544,2024,6,WR,BUF,61.8,32.1,0.957,1.5,30.8,5.0,4.0,2.57,8.2,0.7,0.4,0.0,0.135,65.0,14.0,healthy,0,50.6
00-0031547,2024,6,WR,PHI,25.9,39.9,0.526,2.7,21.0,15.8,12.7,1.17,3.5,0.2,0.463,0.0,0.083,69.9,11.0,healthy,0,40.5
00-0031549,2024,6,WR,BAL,36.0,32.4,0.784,1.1,25.4,17.5,14.0,1.9,9.1,0.9,0.633,0.0,-0.037,58.1,15.0,healthy,0,41.8
00-0031585,2024,6,TE,PIT,87.2,21.0,0.457,1.4,9.6,15.2,12.1,3.18,9.1,3.3,0.617,0.0,0.143,61.8,11.0,healthy,0,54.7
00-0031588,2024,6,WR,HOU,84.6,25.6,0.756,4.7,19.3,19.2,15.4,1.18,4.2,1.8,0.587,0.0,0.083,59.0,8.0,healthy,0,51.4
