player_id,season,week,position,team,snap_pct,routes,tprr,rush_share,target_share,goalline_share,two_min_share,yprr,yac_per_rec,mtf,succ_rate,epa_per_play_qb,team_epa_play,team_pace,team_rz_plays,team_pass_rate,injury_status,dnp_weeks_rolling,sos_ctx
00-0023459,2024,1,QB,NYJ,60.624,0.0,0.0,1.0,0.0,1.0,1.0,1.678,6.45,4.07,0.42,-0.091,0.065,63.996,7.603,,healthy,0,42.678
00-0024243,2024,1,TE,CHI,30.716,34.817,0.439,0.655,1.0,1.0,1.0,3.053,3.764,0.46,0.601,0.0,0.024,56.705,14.243,,healthy,0,38.362
00-0026143,2024,1,QB,ATL,59.187,0.0,0.0,1.0,0.0,1.0,1.0,2.174,4.073,1.545,0.621,0.219,0.04,51.212,12.721,,healthy,0,48.175
00-0026158,2024,1,QB,IND,55.034,0.0,0.0,1.0,0.0,1.0,1.0,2.196,4.233,1.281,0.515,0.038,0.122,60.876,11.867,,healthy,0,33.955
00-0026300,2024,1,QB,BAL,87.817,0.0,0.0,1.0,0.0,1.0,1.0,2.663,3.365,2.738,0.552,-0.082,0.123,68.015,14.325,,healthy,0,45.054
00-0026498,2024,1,QB,LA,94.172,0.0,0.0,1.0,0.0,1.0,1.0,2.446,9.598,1.261,0.317,0.052,0.024,59.865,8.309,,healthy,0,51.551
00-0027973,2024,1,QB,CAR,41.118,0.0,0.0,1.0,0.0,1.0,1.0,1.288,11.456,3.139,0.355,0.006,-0.007,55.66,11.877,,healthy,0,59.564
00-0028118,2024,1,QB,NYJ,55.048,0.0,0.0,1.0,0.0,1.0,1.0,1.489,9.267,0.855,0.518,0.089,0.015,58.669,13.406,,healthy,0,43.501
00-0028986,2024,1,QB,HOU,40.147,0.0,0.0,1.0,0.0,1.0,1.0,3.091,4.991,1.699,0.318,0.174,-0.03,69.233,12.069,,healthy,0,44.896
00-0029263,2024,1,QB,PIT,93.938,0.0,0.0,1.0,0.0,1.0,1.0,3.046,10.978,2.73,0.519,0.207,0.074,58.222,11.98,,healthy,0,39.109
00-0029604,2024,1,QB,ATL,86.56,0.0,0.0,1.0,0.0,1.0,1.0,2.833,7.992,3.313,0.427,-0.063,0.033,67.464,13.853,,healthy,0,54.565
00-0029892,2024,1,RB,SF,41.196,41.268,0.451,1.0,1.0,1.0,1.0,1.944,3.175,1.507,0.496,0.0,0.03,68.277,8.428,,healthy,0,37.598
00-0030035,2024,1,WR,CAR,54.538,35.482,0.766,1.0,1.0,1.0,1.0,2.623,4.576,1.653,0.465,0.0,0.026,67.115,11.846,,healthy,0,53.904
00-0030061,2024,1,TE,WAS,77.127,20.063,0.914,1.0,1.0,1.0,1.0,1.321,11.577,3.139,0.552,0.0,-0.029,62.192,7.456,,healthy,0,51.89
00-0030279,2024,1,WR,CHI,71.606,30.007,0.629,1.0,1.0,1.0,1.0,2.769,9.532,1.785,0.417,0.0,0.067,69.363,10.31,,healthy,0,49.34
00-0030431,2024,1,WR,HOU,29.307,36.73,0.746,1.0,1.0,1.0,1.0,1.701,10.101,2.651,0.553,0.0,0.063,60.402,13.269,,healthy,0,31.717
00-0030506,2024,1,TE,KC,75.968,31.979,0.499,0.09,1.0,1.0,1.0,2.358,8.504,0.27,0.385,0.0,0.063,49.545,10.951,,healthy,0,44.747
00-0030564,2024,1,WR,KC,80.68,39.218,0.358,1.0,1.0,1.0,1.0,2.898,5.227,3.634,0.468,0.0,0.011,54.23,12.892,,healthy,0,59.227
00-0030565,2024,1,QB,SEA,94.993,0.0,0.0,1.0,0.0,1.0,1.0,1.868,10.201,2.543,0.594,0.002,0.017,61.267,10.536,,healthy,0,43.004
00-0030578,2024,1,RB,PIT,56.538,18.27,0.46,1.0,1.0,1.0,1.0,1.616,5.967,1.307,0.536,0.0,0.135,50.891,8.467,,healthy,0,43.403
00-0031235,2024,1,WR,MIA,24.251,29.002,0.853,1.0,1.0,1.0,1.0,3.138,11.363,2.716,0.582,0.0,-0.038,64.719,13.885,,healthy,0,63.698
00-0031236,2024,1,WR,DAL,73.911,30.335,0.484,1.0,1.0,1.0,1.0,1.813,3.798,0.918,0.47,0.0,0.128,53.849,12.827,,healthy,0,39.699
00-0031237,2024,1,QB,DET,82.617,0.0,0.0,1.0,0.0,1.0,1.0,1.602,3.052,0.498,0.418,-0.039,0.063,59.153,13.081,,healthy,0,46.728
00-0031260,2024,1,TE,SF,45.207,28.024,0.476,0.498,1.0,1.0,1.0,2.719,6.898,0.168,0.556,0.0,0.003,62.645,14.213,,healthy,0,52.974
00-0031280,2024,1,QB,NO,86.908,0.0,0.0,1.0,0.0,1.0,1.0,2.499,9.191,0.458,0.353,0.177,0.042,55.916,9.922,,healthy,0,41.796
00-0031299,2024,1,TE,CAR,74.308,32.168,0.458,1.0,1.0,1.0,1.0,1.211,10.891,0.249,0.431,0.0,0.04,55.287,12.21,,healthy,0,49.668
00-0031345,2024,1,QB,LA,63.87,0.0,0.0,1.0,0.0,1.0,1.0,1.039,4.233,3.227,0.566,-0.094,0.057,65.97,10.719,,healthy,0,45.059
00-0031373,2024,1,WR,WAS,30.312,27.772,1.048,1.0,1.0,1.0,1.0,2.111,5.014,0.935,0.399,0.0,0.104,51.7,14.964,,healthy,0,48.97
00-0031381,2024,1,WR,NYJ,69.87,30.169,0.795,0.859,1.0,1.0,1.0,2.63,7.48,1.759,0.379,0.0,0.016,59.135,14.646,,healthy,0,52.059
00-0031408,2024,1,WR,TB,65.027,33.669,0.752,1.0,1.0,1.0,1.0,1.087,8.795,2.079,0.402,0.0,0.124,65.657,10.27,,healthy,0,49.73
00-0031428,2024,1,WR,DET,60.489,25.685,0.69,1.0,1.0,1.0,1.0,2.178,9.637,3.219,0.51,0.0,0.002,65.497,10.412,,healthy,0,49.118
00-0031484,2024,1,TE,NYG,67.166,25.531,0.791,1.0,1.0,1.0,1.0,2.787,7.907,3.083,0.463,0.0,0.107,54.246,15.747,,healthy,0,37.373
00-0031503,2024,1,QB,CLE,43.381,0.0,0.0,1.0,0.0,1.0,1.0,2.802,4.486,2.08,0.354,-0.06,0.066,55.885,10.067,,healthy,0,49.579
00-0031544,2024,1,WR,BUF,52.91,31.485,0.812,1.0,1.0,1.0,1.0,2.242,7.237,0.68,0.349,0.0,0.134,59.728,14.164,,healthy,0,43.942
00-0031547,2024,1,WR,PHI,26.09,34.962,0.432,1.0,1.0,1.0,1.0,0.962,2.954,0.191,0.381,0.0,0.075,70.995,10.445,,healthy,0,35.505
00-0031549,2024,1,WR,BAL,33.199,30.697,0.776,1.0,1.0,1.0,1.0,1.89,7.797,0.783,0.574,0.0,-0.032,49.656,15.007,,healthy,0,36.574
00-0031585,2024,1,TE,PIT,73.875,18.959,0.418,1.0,1.0,1.0,1.0,2.64,9.06,3.207,0.562,0.0,0.13,56.159,10.744,,healthy,0,50.245
00-0031588,2024,1,WR,HOU,83.899,22.306,0.694,1.0,1.0,1.0,1.0,0.981,3.517,1.534,0.523,0.0,0.071,58.428,6.634,,healthy,0,48.252
00-0031595,2024,1,RB,DEN,75.156,47.005,0.449,1.0,1.0,1.0,1.0,2.257,10.193,2.373,0.377,0.0,-0.024,60.458,16.246,,healthy,0,52.271
00-0031610,2024,1,TE,NYG,93.921,28.96,0.314,1.0,1.0,1.0,1.0,1.9,3.794,3.435,0.365,0.0,0.141,53.397,8.597,,healthy,0,46.59
00-0031687,2024,1,RB,MIA,51.72,45.197,0.497,1.0,1.0,1.0,1.0,2.683,5.0,2.291,0.362,0.0,0.092,61.681,9.102,,healthy,0,39.418
00-0031690,2024,1,TE,LAC,37.241,24.082,0.55,1.0,1.0,1.0,1.0,1.606,6.939,2.652,0.455,0.0,0.063,63.856,11.634,,healthy,0,32.457
00-0031763,2024,1,WR,CHI,38.882,25.549,0.981,1.0,1.0,1.0,1.0,1.615,8.169,1.947,0.313,0.0,-0.032,56.48,8.746,,healthy,0,37.011
00-0031800,2024,1,QB,LAC,89.511,0.0,0.0,1.0,0.0,1.0,1.0,1.214,11.118,2.929,0.513,-0.053,-0.026,58.634,6.58,,healthy,0,54.094
00-0031868,2024,1,WR,BUF,80.184,23.458,0.619,1.0,1.0,1.0,1.0,2.719,6.551,1.993,0.455,0.0,0.074,59.376,11.515,,healthy,0,41.148
00-0031941,2024,1,WR,WAS,47.415,26.293,0.466,1.0,1.0,1.0,1.0,2.687,4.253,0.183,0.387,0.0,0.005,49.773,10.987,,healthy,0,39.027
