player_id,season,week,format,position,score,vor,tier,debug_components
00-0023459,2024,6,redraft,QB,28.75491989664083,-19.179648578811367,4,"{'opp': 13.565891472868218, 'eff': 34.689922480620154, 'role': 39.276485788113696, 'team': 36.692506459948326, 'health': 0.0, 'sos': -0.3999999999999986}"
00-0026143,2024,6,redraft,QB,41.5499173126615,-6.384651162790696,2,"{'opp': 7.945736434108527, 'eff': 59.689922480620154, 'role': 58.91472868217054, 'team': 49.354005167958654, 'health': 0.0, 'sos': -1.7999999999999972}"
00-0026158,2024,6,redraft,QB,40.24465633074935,-7.689912144702845,2,"{'opp': 11.627906976744185, 'eff': 46.899224806201545, 'role': 44.444444444444436, 'team': 72.3514211886305, 'health': 0.0, 'sos': -10.700000000000003}"
00-0026300,2024,6,redraft,QB,48.26778294573644,0.333214470284247,1,"{'opp': 19.767441860465116, 'eff': 45.93023255813954, 'role': 63.56589147286822, 'team': 89.14728682170544, 'health': 0.0, 'sos': -5.700000000000003}"
00-0026498,2024,6,redraft,QB,38.355493540051675,-9.57907493540052,3,"{'opp': 29.651162790697676, 'eff': 48.25581395348837, 'role': 44.444444444444436, 'team': 36.69250645994832, 'health': 0.0, 'sos': 2.3999999999999986}"
00-0027973,2024,6,redraft,QB,24.92883204134367,-23.005736434108524,4,"{'opp': 2.7131782945736433, 'eff': 38.565891472868216, 'role': 17.054263565891475, 'team': 40.0516795865633, 'health': 0.0, 'sos': 9.200000000000003}"
00-0028118,2024,6,redraft,QB,41.56038759689922,-6.374180878552977,2,"{'opp': 19.767441860465116, 'eff': 57.751937984496124, 'role': 26.61498708010336, 'team': 62.01550387596899, 'health': 0.0, 'sos': 0.5}"
00-0028986,2024,6,redraft,QB,35.83994315245478,-12.094625322997416,3,"{'opp': 2.713178294573644, 'eff': 47.86821705426357, 'role': 48.06201550387596, 'team': 56.072351421188635, 'health': 0.0, 'sos': -0.7999999999999972}"
00-0029263,2024,6,redraft,QB,54.22140568475453,6.286837209302334,1,"{'opp': 45.348837209302324, 'eff': 82.55813953488372, 'role': 9.30232558139535, 'team': 63.30749354005169, 'health': 0.0, 'sos': -3.3999999999999986}"
00-0029604,2024,6,redraft,QB,48.93172093023256,0.9971524547803625,1,"{'opp': 34.689922480620154, 'eff': 47.286821705426355, 'role': 59.9483204134367, 'team': 72.09302325581395, 'health': 0.0, 'sos': 14.900000000000006}"
00-0030565,2024,6,redraft,QB,43.24857364341086,-4.685994832041338,2,"{'opp': 32.36434108527132, 'eff': 68.0232558139535, 'role': 18.08785529715762, 'team': 43.41085271317829, 'health': 0.0, 'sos': -2.299999999999997}"
00-0031237,2024,6,redraft,QB,37.2834315245478,-10.651136950904394,3,"{'opp': 43.798449612403104, 'eff': 25.0, 'role': 39.53488372093023, 'team': 58.39793281653746, 'health': 0.0, 'sos': -1.2999999999999972}"
00-0031280,2024,6,redraft,QB,40.18961757105943,-7.744950904392766,2,"{'opp': 33.333333333333336, 'eff': 57.751937984496124, 'role': 21.188630490956072, 'team': 42.89405684754522, 'health': 0.0, 'sos': -5.700000000000003}"
00-0031345,2024,6,redraft,QB,32.54968992248062,-15.384878552971578,4,"{'opp': 25.968992248062015, 'eff': 27.71317829457364, 'role': 35.400516795865634, 'team': 55.03875968992248, 'health': 0.0, 'sos': 2.0}"
00-0031503,2024,6,redraft,QB,26.160940568475453,-21.773627906976742,4,"{'opp': 23.449612403100772, 'eff': 29.844961240310077, 'role': 29.97416020671835, 'team': 26.873385012919897, 'health': 0.0, 'sos': -0.8999999999999986}"
00-0031800,2024,6,redraft,QB,26.985684754521962,-20.948883720930233,4,"{'opp': 28.875968992248062, 'eff': 47.86821705426357, 'role': 8.527131782945737, 'team': 8.2687338501292, 'health': 0.0, 'sos': 4.0}"
00-0032156,2024,6,redraft,QB,35.924103359173124,-12.010465116279072,3,"{'opp': 23.25581395348837, 'eff': 31.2015503875969, 'role': 41.860465116279066, 'team': 64.08268733850129, 'health': 0.0, 'sos': 4.700000000000003}"
00-0032268,2024,6,redraft,QB,46.72705426356589,-1.2075142118863056,2,"{'opp': 16.08527131782946, 'eff': 74.41860465116278, 'role': 48.57881136950905, 'team': 48.062015503875976, 'health': 0.0, 'sos': -12.0}"
00-0032434,2024,6,redraft,QB,44.164279069767446,-3.77028940568475,2,"{'opp': 20.73643410852713, 'eff': 68.9922480620155, 'role': 57.622739018087856, 'team': 29.45736434108527, 'health': 0.0, 'sos': 14.900000000000006}"
00-0032436,2024,6,redraft,QB,50.5592661498708,2.6246976744186057,1,"{'opp': 34.30232558139535, 'eff': 51.55038759689923, 'role': 46.77002583979328, 'team': 84.2377260981912, 'health': 0.0, 'sos': 3.8999999999999986}"
00-0032792,2024,6,redraft,QB,51.62634625322997,3.691777777777773,1,"{'opp': 43.02325581395348, 'eff': 56.201550387596896, 'role': 28.940568475452196, 'team': 84.75452196382429, 'health': 0.0, 'sos': -4.600000000000001}"
00-0032950,2024,6,redraft,QB,36.593136950904395,-11.3414315245478,3,"{'opp': 6.395348837209302, 'eff': 50.775193798449614, 'role': 56.84754521963824, 'team': 43.66925064599483, 'health': 0.0, 'sos': -1.8999999999999986}"
00-0033077,2024,6,redraft,QB,46.761064599483205,-1.17350387596899,2,"{'opp': 43.798449612403104, 'eff': 57.751937984496124, 'role': 37.2093023255814, 'team': 50.90439276485788, 'health': 0.0, 'sos': -8.200000000000003}"
00-0033106,2024,6,redraft,QB,38.546392764857885,-9.38817571059431,3,"{'opp': 9.108527131782946, 'eff': 30.42635658914729, 'role': 60.98191214470284, 'team': 81.65374677002585, 'health': 0.0, 'sos': 7.100000000000001}"
00-0033119,2024,6,redraft,QB,42.724739018087845,-5.20982945736435,2,"{'opp': 24.418604651162788, 'eff': 53.10077519379844, 'role': 60.98191214470284, 'team': 43.927648578811365, 'health': 0.0, 'sos': 5.100000000000001}"
00-0033275,2024,6,redraft,QB,32.31127131782945,-15.623297157622744,4,"{'opp': 15.116279069767444, 'eff': 49.8062015503876, 'role': 31.78294573643411, 'team': 31.78294573643411, 'health': 0.0, 'sos': -1.2000000000000028}"
00-0033319,2024,6,redraft,QB,41.078139534883725,-6.85642894056847,2,"{'opp': 44.961240310077514, 'eff': 52.906976744186046, 'role': 13.953488372093025, 'team': 47.286821705426355, 'health': 0.0, 'sos': -11.5}"
00-0033537,2024,6,redraft,QB,31.44756072351422,-16.487007751937977,4,"{'opp': 16.27906976744186, 'eff': 44.76744186046512, 'role': 4.1343669250646, 'team': 54.00516795865633, 'health': 0.0, 'sos': 14.400000000000006}"
00-0033662,2024,6,redraft,QB,25.67088372093023,-22.263684754521964,4,"{'opp': 1.744186046511628, 'eff': 28.682170542635657, 'role': 8.010335917312661, 'team': 70.54263565891473, 'health': 0.0, 'sos': -5.700000000000003}"
00-0033869,2024,6,redraft,QB,38.35753488372093,-9.577033591731265,3,"{'opp': 35.07751937984496, 'eff': 27.325581395348838, 'role': 46.253229974160206, 'team': 64.34108527131782, 'health': 0.0, 'sos': 10.899999999999999}"
00-0033873,2024,6,redraft,QB,28.078113695090433,-19.856454780361762,4,"{'opp': 24.031007751937985, 'eff': 45.34883720930232, 'role': 36.17571059431524, 'team': 4.909560723514212, 'health': 0.0, 'sos': -10.5}"
00-0033936,2024,6,redraft,QB,37.53079069767442,-10.403777777777776,3,"{'opp': 21.511627906976745, 'eff': 60.07751937984496, 'role': 4.1343669250646, 'team': 51.937984496124024, 'health': 0.0, 'sos': 5.899999999999999}"
00-0033949,2024,6,redraft,QB,43.721881136950905,-4.21268733850129,2,"{'opp': 41.86046511627907, 'eff': 58.33333333333333, 'role': 32.81653746770026, 'team': 39.01808785529715, 'health': 0.0, 'sos': 5.700000000000003}"
00-0033958,2024,6,redraft,QB,38.872077519379836,-9.06249095607236,3,"{'opp': 31.395348837209298, 'eff': 60.27131782945736, 'role': 10.594315245478036, 'team': 42.63565891472868, 'health': 0.0, 'sos': -9.399999999999999}"
00-0034177,2024,6,redraft,QB,28.299772609819122,-19.634795865633073,4,"{'opp': 25.1937984496124, 'eff': 42.248062015503876, 'role': 0.0, 'team': 36.692506459948326, 'health': 0.0, 'sos': -6.200000000000003}"
00-0034401,2024,6,redraft,QB,30.915121447028422,-17.019447028423773,4,"{'opp': 31.589147286821706, 'eff': 36.04651162790698, 'role': 2.8423772609819125, 'team': 50.64599483204134, 'health': 0.0, 'sos': -7.700000000000003}"
00-0034438,2024,6,redraft,QB,35.451436692506455,-12.48313178294574,3,"{'opp': 10.465116279069768, 'eff': 56.201550387596896, 'role': 24.8062015503876, 'team': 47.02842377260982, 'health': 0.0, 'sos': 1.8999999999999986}"
00-0034577,2024,6,redraft,QB,38.41731266149871,-9.517255813953483,3,"{'opp': 31.007751937984494, 'eff': 39.92248062015504, 'role': 31.007751937984494, 'team': 60.20671834625323, 'health': 0.0, 'sos': 0.0}"
00-0034737,2024,6,redraft,QB,47.934568475452195,0.0,1,"{'opp': 12.790697674418604, 'eff': 67.24806201550388, 'role': 51.16279069767442, 'team': 66.40826873385012, 'health': 0.0, 'sos': 12.200000000000003}"
00-0034771,2024,6,redraft,QB,47.84967958656331,-0.08488888888888368,1,"{'opp': 38.95348837209303, 'eff': 42.44186046511628, 'role': 40.0516795865633, 'team': 84.75452196382429, 'health': 0.0, 'sos': 14.900000000000006}"
00-0034796,2024,6,redraft,QB,36.38749870801034,-11.547069767441855,3,"{'opp': 24.41860465116279, 'eff': 41.66666666666667, 'role': 55.555555555555564, 'team': 36.95090439276486, 'health': 0.0, 'sos': -1.2000000000000028}"
00-0034855,2024,6,redraft,QB,37.70192764857881,-10.232640826873386,3,"{'opp': 21.705426356589147, 'eff': 49.8062015503876, 'role': 28.940568475452196, 'team': 52.97157622739018, 'health': 0.0, 'sos': -4.600000000000001}"
00-0034857,2024,6,redraft,QB,42.819705426356585,-5.114863049095611,2,"{'opp': 20.155038759689923, 'eff': 67.24806201550388, 'role': 52.19638242894056, 'team': 33.333333333333336, 'health': 0.0, 'sos': -12.600000000000001}"
00-0034869,2024,6,redraft,QB,47.157891472868215,-0.7766770025839804,2,"{'opp': 37.7906976744186, 'eff': 59.689922480620154, 'role': 37.72609819121447, 'team': 56.58914728682171, 'health': 0.0, 'sos': -7.899999999999999}"
00-0034899,2024,6,redraft,QB,46.030821705426355,-1.9037467700258404,2,"{'opp': 40.310077519379846, 'eff': 71.51162790697674, 'role': 60.46511627906977, 'team': 9.30232558139535, 'health': 0.0, 'sos': -0.29999999999999716}"
00-0034955,2024,6,redraft,QB,39.75564341085271,-8.178925064599483,2,"{'opp': 36.627906976744185, 'eff': 52.90697674418604, 'role': 18.34625322997416, 'team': 45.736434108527135, 'health': 0.0, 'sos': 9.100000000000001}"
00-0035100,2024,6,redraft,QB,49.412666666666674,1.4780981912144782,1,"{'opp': 43.992248062015506, 'eff': 54.457364341085274, 'role': 64.34108527131782, 'team': 47.286821705426355, 'health': 0.0, 'sos': 12.299999999999997}"
00-0035146,2024,6,redraft,QB,25.47484754521963,-22.459720930232564,4,"{'opp': 26.55038759689922, 'eff': 24.031007751937985, 'role': 5.684754521963824, 'team': 47.02842377260981, 'health': 0.0, 'sos': 8.399999999999999}"
00-0035228,2024,6,redraft,QB,43.81099741602067,-4.1235710594315265,2,"{'opp': 20.73643410852713, 'eff': 65.11627906976744, 'role': 27.39018087855297, 'team': 59.9483204134367, 'health': 0.0, 'sos': -13.100000000000001}"
00-0035251,2024,6,redraft,QB,35.22038759689923,-12.714180878552966,3,"{'opp': 15.69767441860465, 'eff': 39.14728682170543, 'role': 43.41085271317829, 'team': 55.8139534883721, 'health': 0.0, 'sos': -4.0}"
00-0035264,2024,6,redraft,QB,34.929560723514214,-13.005007751937981,3,"{'opp': 11.24031007751938, 'eff': 46.899224806201545, 'role': 28.42377260981912, 'team': 57.105943152454785, 'health': 0.0, 'sos': 1.0}"
00-0035282,2024,6,redraft,QB,33.42972093023256,-14.504847545219633,4,"{'opp': 12.4031007751938, 'eff': 43.6046511627907, 'role': 51.16279069767442, 'team': 37.98449612403101, 'health': 0.0, 'sos': -10.200000000000003}"
00-0035289,2024,6,redraft,QB,30.57295607235142,-17.361612403100775,4,"{'opp': 28.875968992248062, 'eff': 36.627906976744185, 'role': 18.34625322997416, 'team': 38.50129198966408, 'health': 0.0, 'sos': 4.100000000000001}"
00-0035704,2024,6,redraft,QB,30.568816537467704,-17.36575193798449,4,"{'opp': 10.658914728682172, 'eff': 62.209302325581405, 'role': 1.03359173126615, 'team': 29.198966408268735, 'health': 0.0, 'sos': 6.799999999999997}"
00-0035710,2024,6,redraft,QB,36.53098708010336,-11.403581395348837,3,"{'opp': 22.48062015503876, 'eff': 26.356589147286826, 'role': 41.08527131782946, 'team': 78.03617571059432, 'health': 0.0, 'sos': -4.200000000000003}"
00-0035993,2024,6,redraft,QB,30.633074935400515,-17.30149354005168,4,"{'opp': 22.09302325581395, 'eff': 33.72093023255814, 'role': 1.550387596899225, 'team': 65.37467700258398, 'health': 0.0, 'sos': 0.0}"
00-0036197,2024,6,redraft,QB,36.98470284237727,-10.949865633074928,3,"{'opp': 21.70542635658915, 'eff': 59.689922480620154, 'role': 14.987080103359174, 'team': 42.89405684754522, 'health': 0.0, 'sos': -8.0}"
00-0036212,2024,6,redraft,QB,35.28103875968991,-12.653529715762282,3,"{'opp': 25.775193798449614, 'eff': 48.25581395348837, 'role': 32.29974160206718, 'team': 34.883720930232556, 'health': 0.0, 'sos': 6.299999999999997}"
00-0036264,2024,6,redraft,QB,44.971571059431525,-2.96299741602067,2,"{'opp': 27.325581395348838, 'eff': 62.01550387596899, 'role': 48.57881136950905, 'team': 45.219638242894064, 'health': 0.0, 'sos': 5.200000000000003}"
00-0036312,2024,6,redraft,QB,41.77730749354005,-6.157260981912145,2,"{'opp': 25.58139534883721, 'eff': 41.86046511627907, 'role': 60.98191214470284, 'team': 56.84754521963825, 'health': 0.0, 'sos': 10.700000000000003}"
00-0036355,2024,6,redraft,QB,46.34497157622739,-1.5895968992248086,2,"{'opp': 37.20930232558139, 'eff': 68.6046511627907, 'role': 57.36434108527132, 'team': 20.671834625322997, 'health': 0.0, 'sos': 14.599999999999994}"
00-0036384,2024,6,redraft,QB,42.2547338501292,-5.6798346253229965,2,"{'opp': 27.131782945736433, 'eff': 55.23255813953488, 'role': 54.00516795865633, 'team': 39.01808785529716, 'health': 0.0, 'sos': 11.799999999999997}"
00-0036389,2024,6,redraft,QB,39.3112661498708,-8.623302325581399,3,"{'opp': 33.52713178294574, 'eff': 45.54263565891472, 'role': 21.188630490956072, 'team': 58.656330749354005, 'health': 0.0, 'sos': 4.0}"
00-0036442,2024,6,redraft,QB,46.747028423772605,-1.1875400516795906,2,"{'opp': 37.4031007751938, 'eff': 67.63565891472868, 'role': 30.232558139534884, 'team': 44.44444444444445, 'health': 0.0, 'sos': 15.0}"
00-0036679,2024,6,redraft,QB,30.679333333333336,-17.25523514211886,4,"{'opp': 10.077519379844961, 'eff': 49.224806201550386, 'role': 6.718346253229974, 'team': 50.38759689922481, 'health': 0.0, 'sos': -7.700000000000003}"
00-0036879,2024,6,redraft,QB,34.78483204134367,-13.149736434108526,3,"{'opp': 19.57364341085271, 'eff': 56.2015503875969, 'role': 21.705426356589147, 'team': 34.62532299741602, 'health': 0.0, 'sos': 2.0}"
00-0036898,2024,6,redraft,QB,25.134087855297157,-22.80048062015504,4,"{'opp': 21.124031007751938, 'eff': 32.55813953488372, 'role': 32.81653746770026, 'team': 18.346253229974156, 'health': 0.0, 'sos': -6.700000000000003}"
00-0036928,2024,6,redraft,QB,42.00017571059431,-5.934392764857883,2,"{'opp': 31.007751937984494, 'eff': 62.20930232558139, 'role': 27.648578811369514, 'team': 40.56847545219639, 'health': 0.0, 'sos': 10.700000000000003}"
00-0036929,2024,6,redraft,QB,34.04465633074935,-13.889912144702848,4,"{'opp': 16.08527131782946, 'eff': 40.69767441860465, 'role': 55.297157622739014, 'team': 38.24289405684754, 'health': 0.0, 'sos': -8.200000000000003}"
00-0036945,2024,6,redraft,QB,50.14416020671834,2.209591731266144,1,"{'opp': 25.1937984496124, 'eff': 81.0077519379845, 'role': 52.19638242894056, 'team': 37.46770025839793, 'health': 0.0, 'sos': 8.5}"
