season,week,def_team,position,player_name,player_team,fpts,player_id
2024,1,SF,QB,A.Rodgers,NYJ,8.58,00-0023459
2024,1,DET,QB,M.Stafford,LA,14.68,00-0026498
2024,1,NO,QB,A.Dalton,CAR,0.0,00-0027973
2024,1,SF,QB,T.Taylor,NYJ,6.14,00-0028118
2024,1,PIT,QB,K.Cousins,ATL,6.2,00-0029604
2024,1,NO,WR,A.Thielen,CAR,7.9,00-0030035
2024,1,TB,TE,Z.Ertz,WAS,5.8,00-0030061
2024,1,TEN,WR,K.Allen,CHI,6.9,00-0030279
2024,1,BAL,TE,T.Kelce,KC,6.4,00-0030506
2024,1,CHI,WR,D.Hopkins,TEN,1.8,00-0030564
2024,1,DEN,QB,G.Smith,SEA,17.84,00-0030565
2024,1,ATL,RB,C.Patterson,PIT,1.3,00-0030578
2024,1,CLE,WR,B.Cooks,DAL,14.5,00-0031236
2024,1,CAR,QB,D.Carr,NO,21.3,00-0031280
2024,1,NO,TE,J.Matthews,CAR,0.0,00-0031299
2024,1,LAC,WR,D.Adams,LV,10.9,00-0031381
2024,1,WAS,WR,M.Evans,TB,23.1,00-0031408
2024,1,DAL,WR,A.Cooper,CLE,3.6,00-0031544
2024,1,KC,WR,N.Agholor,BAL,1.6,00-0031549
2024,1,ATL,TE,M.Pruitt,PIT,1.9,00-0031585
2024,1,IND,WR,S.Diggs,HOU,21.9,00-0031588
2024,1,JAX,RB,R.Mostert,MIA,3.9,00-0031687
2024,1,TEN,WR,D.Carter,CHI,1.6,00-0031763
2024,1,TB,WR,J.Crowder,WAS,1.5,00-0031941
2024,1,DEN,WR,T.Lockett,SEA,13.7,00-0032211
2024,1,CIN,TE,A.Hooper,NE,5.1,00-0032392
2024,1,CHI,TE,N.Vannett,TEN,3.1,00-0032394
2024,1,NYJ,QB,B.Allen,SF,-0.1,00-0032434
2024,1,LA,WR,K.Raymond,DET,1.2,00-0032464
2024,1,KC,RB,D.Henry,BAL,10.6,00-0032764
2024,1,DET,WR,D.Robinson,LA,8.2,00-0032775
2024,1,CHI,WR,T.Boyd,TEN,4.8,00-0033009
2024,1,JAX,WR,T.Hill,MIA,26.0,00-0033040
2024,1,CLE,RB,E.Elliott,DAL,12.9,00-0033045
2024,1,CLE,QB,D.Prescott,DAL,11.46,00-0033077
2024,1,CIN,TE,H.Henry,NE,3.8,00-0033090
2024,1,LA,QB,J.Goff,DET,11.38,00-0033106
2024,1,CIN,QB,J.Brissett,NE,8.04,00-0033119
2024,1,HOU,TE,M.Alie-Cox,IND,0.0,00-0033217
2024,1,NYG,TE,J.Mundt,MIN,3.5,00-0033246
2024,1,ARI,WR,C.Samuel,BUF,3.5,00-0033282
2024,1,NYJ,TE,G.Kittle,SF,8.0,00-0033288
2024,1,NYG,RB,A.Jones,MIN,18.9,00-0033293
2024,1,CAR,TE,T.Hill,NO,4.6,00-0033357
2024,1,BAL,RB,S.Perine,KC,2.0,00-0033526
2024,1,DAL,QB,D.Watson,CLE,10.66,00-0033537
2024,1,BUF,RB,J.Conner,ARI,19.3,00-0033553
2024,1,ARI,WR,M.Hollins,BUF,10.5,00-0033555
2024,1,NYJ,TE,E.Saubert,SF,0.0,00-0033576
2024,1,NO,WR,D.Moore,CAR,2.4,00-0033589
2024,1,CLE,QB,C.Rush,DAL,-0.1,00-0033662
2024,1,TB,RB,A.Ekeler,WAS,10.2,00-0033699
2024,1,IND,RB,D.Ogunbowale,HOU,1.3,00-0033854
2024,1,BAL,WR,J.Smith-Schuster,KC,0.0,00-0033857
2024,1,JAX,TE,J.Smith,MIA,1.7,00-0033858
2024,1,BAL,QB,P.Mahomes,KC,15.14,00-0033873
2024,1,MIA,TE,E.Engram,JAX,1.5,00-0033881
2024,1,DAL,TE,D.Njoku,CLE,8.4,00-0033885
2024,1,TEN,TE,G.Everett,CHI,0.9,00-0033895
2024,1,IND,RB,J.Mixon,HOU,26.8,00-0033897
2024,1,CAR,RB,A.Kamara,NO,22.0,00-0033906
2024,1,DET,WR,C.Kupp,LA,32.0,00-0033908
2024,1,WAS,WR,C.Godwin,TB,22.3,00-0033921
2024,1,SEA,WR,J.Reynolds,DEN,9.5,00-0033943
2024,1,CAR,RB,J.Williams,NO,12.1,00-0033948
2024,1,JAX,RB,J.Wilson,MIA,2.6,00-0034115
2024,1,LV,TE,W.Dissly,LAC,2.3,00-0034159
2024,1,LV,RB,G.Edwards,LAC,3.8,00-0034184
2024,1,NO,RB,M.Boone,CAR,0.7,00-0034208
2024,1,SF,TE,T.Conklin,NYJ,1.6,00-0034270
2024,1,ARI,WR,M.Valdes-Scantling,BUF,2.9,00-0034272
2024,1,SEA,WR,C.Sutton,DEN,7.8,00-0034348
2024,1,GB,TE,D.Goedert,PHI,7.1,00-0034351
2024,1,DAL,TE,J.Akins,CLE,5.7,00-0034364
2024,1,IND,TE,D.Schultz,HOU,4.6,00-0034383
